entity,x,x_str,property,label
living thing,1,1,ISA:living_thing,1
living thing,1,1,ISA:plant,0
living thing,1,1,ISA:animal,0
living thing,1,1,ISA:tree,0
living thing,1,1,ISA:flower,0
living thing,1,1,ISA:bird,0
living thing,1,1,ISA:fish,0
living thing,1,1,ISA:pretty,0
living thing,1,1,ISA:big,0
living thing,1,1,ISA:living,0
living thing,1,1,ISA:green,0
living thing,1,1,ISA:red,0
living thing,1,1,ISA:yellow,0
living thing,1,1,ISA:tall,0
living thing,1,1,ISA:grow,0
living thing,1,1,ISA:move,0
living thing,1,1,ISA:swim,0
living thing,1,1,ISA:fly,0
living thing,1,1,ISA:sing,0
living thing,1,1,ISA:bark,0
living thing,1,1,ISA:petals,0
living thing,1,1,ISA:wings,0
living thing,1,1,ISA:feathers,0
living thing,1,1,ISA:scales,0
living thing,1,1,ISA:gills,0
living thing,1,1,ISA:roots,0
living thing,1,1,ISA:skin,0
living thing,1,1,ISA:leaves,0
living thing,1,1,IS:living_thing,0
living thing,1,1,IS:plant,0
living thing,1,1,IS:animal,0
living thing,1,1,IS:tree,0
living thing,1,1,IS:flower,0
living thing,1,1,IS:bird,0
living thing,1,1,IS:fish,0
living thing,1,1,IS:pretty,0
living thing,1,1,IS:big,0
living thing,1,1,IS:living,1
living thing,1,1,IS:green,0
living thing,1,1,IS:red,0
living thing,1,1,IS:yellow,0
living thing,1,1,IS:tall,0
living thing,1,1,IS:grow,0
living thing,1,1,IS:move,0
living thing,1,1,IS:swim,0
living thing,1,1,IS:fly,0
living thing,1,1,IS:sing,0
living thing,1,1,IS:bark,0
living thing,1,1,IS:petals,0
living thing,1,1,IS:wings,0
living thing,1,1,IS:feathers,0
living thing,1,1,IS:scales,0
living thing,1,1,IS:gills,0
living thing,1,1,IS:roots,0
living thing,1,1,IS:skin,0
living thing,1,1,IS:leaves,0
living thing,1,1,CAN:living_thing,0
living thing,1,1,CAN:plant,0
living thing,1,1,CAN:animal,0
living thing,1,1,CAN:tree,0
living thing,1,1,CAN:flower,0
living thing,1,1,CAN:bird,0
living thing,1,1,CAN:fish,0
living thing,1,1,CAN:pretty,0
living thing,1,1,CAN:big,0
living thing,1,1,CAN:living,0
living thing,1,1,CAN:green,0
living thing,1,1,CAN:red,0
living thing,1,1,CAN:yellow,0
living thing,1,1,CAN:tall,0
living thing,1,1,CAN:grow,1
living thing,1,1,CAN:move,0
living thing,1,1,CAN:swim,0
living thing,1,1,CAN:fly,0
living thing,1,1,CAN:sing,0
living thing,1,1,CAN:bark,0
living thing,1,1,CAN:petals,0
living thing,1,1,CAN:wings,0
living thing,1,1,CAN:feathers,0
living thing,1,1,CAN:scales,0
living thing,1,1,CAN:gills,0
living thing,1,1,CAN:roots,0
living thing,1,1,CAN:skin,0
living thing,1,1,CAN:leaves,0
living thing,1,1,HAS:living_thing,0
living thing,1,1,HAS:plant,0
living thing,1,1,HAS:animal,0
living thing,1,1,HAS:tree,0
living thing,1,1,HAS:flower,0
living thing,1,1,HAS:bird,0
living thing,1,1,HAS:fish,0
living thing,1,1,HAS:pretty,0
living thing,1,1,HAS:big,0
living thing,1,1,HAS:living,0
living thing,1,1,HAS:green,0
living thing,1,1,HAS:red,0
living thing,1,1,HAS:yellow,0
living thing,1,1,HAS:tall,0
living thing,1,1,HAS:grow,0
living thing,1,1,HAS:move,0
living thing,1,1,HAS:swim,0
living thing,1,1,HAS:fly,0
living thing,1,1,HAS:sing,0
living thing,1,1,HAS:bark,0
living thing,1,1,HAS:petals,0
living thing,1,1,HAS:wings,0
living thing,1,1,HAS:feathers,0
living thing,1,1,HAS:scales,0
living thing,1,1,HAS:gills,0
living thing,1,1,HAS:roots,0
living thing,1,1,HAS:skin,0
living thing,1,1,HAS:leaves,0
plant,4,100,ISA:living_thing,1
plant,4,100,ISA:plant,1
plant,4,100,ISA:animal,0
plant,4,100,ISA:tree,0
plant,4,100,ISA:flower,0
plant,4,100,ISA:bird,0
plant,4,100,ISA:fish,0
plant,4,100,ISA:pretty,0
plant,4,100,ISA:big,0
plant,4,100,ISA:living,0
plant,4,100,ISA:green,0
plant,4,100,ISA:red,0
plant,4,100,ISA:yellow,0
plant,4,100,ISA:tall,0
plant,4,100,ISA:grow,0
plant,4,100,ISA:move,0
plant,4,100,ISA:swim,0
plant,4,100,ISA:fly,0
plant,4,100,ISA:sing,0
plant,4,100,ISA:bark,0
plant,4,100,ISA:petals,0
plant,4,100,ISA:wings,0
plant,4,100,ISA:feathers,0
plant,4,100,ISA:scales,0
plant,4,100,ISA:gills,0
plant,4,100,ISA:roots,0
plant,4,100,ISA:skin,0
plant,4,100,ISA:leaves,0
plant,4,100,IS:living_thing,0
plant,4,100,IS:plant,0
plant,4,100,IS:animal,0
plant,4,100,IS:tree,0
plant,4,100,IS:flower,0
plant,4,100,IS:bird,0
plant,4,100,IS:fish,0
plant,4,100,IS:pretty,0
plant,4,100,IS:big,0
plant,4,100,IS:living,1
plant,4,100,IS:green,0
plant,4,100,IS:red,0
plant,4,100,IS:yellow,0
plant,4,100,IS:tall,0
plant,4,100,IS:grow,0
plant,4,100,IS:move,0
plant,4,100,IS:swim,0
plant,4,100,IS:fly,0
plant,4,100,IS:sing,0
plant,4,100,IS:bark,0
plant,4,100,IS:petals,0
plant,4,100,IS:wings,0
plant,4,100,IS:feathers,0
plant,4,100,IS:scales,0
plant,4,100,IS:gills,0
plant,4,100,IS:roots,0
plant,4,100,IS:skin,0
plant,4,100,IS:leaves,0
plant,4,100,CAN:living_thing,0
plant,4,100,CAN:plant,0
plant,4,100,CAN:animal,0
plant,4,100,CAN:tree,0
plant,4,100,CAN:flower,0
plant,4,100,CAN:bird,0
plant,4,100,CAN:fish,0
plant,4,100,CAN:pretty,0
plant,4,100,CAN:big,0
plant,4,100,CAN:living,0
plant,4,100,CAN:green,0
plant,4,100,CAN:red,0
plant,4,100,CAN:yellow,0
plant,4,100,CAN:tall,0
plant,4,100,CAN:grow,1
plant,4,100,CAN:move,0
plant,4,100,CAN:swim,0
plant,4,100,CAN:fly,0
plant,4,100,CAN:sing,0
plant,4,100,CAN:bark,0
plant,4,100,CAN:petals,0
plant,4,100,CAN:wings,0
plant,4,100,CAN:feathers,0
plant,4,100,CAN:scales,0
plant,4,100,CAN:gills,0
plant,4,100,CAN:roots,0
plant,4,100,CAN:skin,0
plant,4,100,CAN:leaves,0
plant,4,100,HAS:living_thing,0
plant,4,100,HAS:plant,0
plant,4,100,HAS:animal,0
plant,4,100,HAS:tree,0
plant,4,100,HAS:flower,0
plant,4,100,HAS:bird,0
plant,4,100,HAS:fish,0
plant,4,100,HAS:pretty,0
plant,4,100,HAS:big,0
plant,4,100,HAS:living,0
plant,4,100,HAS:green,0
plant,4,100,HAS:red,0
plant,4,100,HAS:yellow,0
plant,4,100,HAS:tall,0
plant,4,100,HAS:grow,0
plant,4,100,HAS:move,0
plant,4,100,HAS:swim,0
plant,4,100,HAS:fly,0
plant,4,100,HAS:sing,0
plant,4,100,HAS:bark,0
plant,4,100,HAS:petals,0
plant,4,100,HAS:wings,0
plant,4,100,HAS:feathers,0
plant,4,100,HAS:scales,0
plant,4,100,HAS:gills,0
plant,4,100,HAS:roots,1
plant,4,100,HAS:skin,0
plant,4,100,HAS:leaves,0
animal,6,110,ISA:living_thing,1
animal,6,110,ISA:plant,0
animal,6,110,ISA:animal,1
animal,6,110,ISA:tree,0
animal,6,110,ISA:flower,0
animal,6,110,ISA:bird,0
animal,6,110,ISA:fish,0
animal,6,110,ISA:pretty,0
animal,6,110,ISA:big,0
animal,6,110,ISA:living,0
animal,6,110,ISA:green,0
animal,6,110,ISA:red,0
animal,6,110,ISA:yellow,0
animal,6,110,ISA:tall,0
animal,6,110,ISA:grow,0
animal,6,110,ISA:move,0
animal,6,110,ISA:swim,0
animal,6,110,ISA:fly,0
animal,6,110,ISA:sing,0
animal,6,110,ISA:bark,0
animal,6,110,ISA:petals,0
animal,6,110,ISA:wings,0
animal,6,110,ISA:feathers,0
animal,6,110,ISA:scales,0
animal,6,110,ISA:gills,0
animal,6,110,ISA:roots,0
animal,6,110,ISA:skin,0
animal,6,110,ISA:leaves,0
animal,6,110,IS:living_thing,0
animal,6,110,IS:plant,0
animal,6,110,IS:animal,0
animal,6,110,IS:tree,0
animal,6,110,IS:flower,0
animal,6,110,IS:bird,0
animal,6,110,IS:fish,0
animal,6,110,IS:pretty,0
animal,6,110,IS:big,0
animal,6,110,IS:living,1
animal,6,110,IS:green,0
animal,6,110,IS:red,0
animal,6,110,IS:yellow,0
animal,6,110,IS:tall,0
animal,6,110,IS:grow,0
animal,6,110,IS:move,0
animal,6,110,IS:swim,0
animal,6,110,IS:fly,0
animal,6,110,IS:sing,0
animal,6,110,IS:bark,0
animal,6,110,IS:petals,0
animal,6,110,IS:wings,0
animal,6,110,IS:feathers,0
animal,6,110,IS:scales,0
animal,6,110,IS:gills,0
animal,6,110,IS:roots,0
animal,6,110,IS:skin,0
animal,6,110,IS:leaves,0
animal,6,110,CAN:living_thing,0
animal,6,110,CAN:plant,0
animal,6,110,CAN:animal,0
animal,6,110,CAN:tree,0
animal,6,110,CAN:flower,0
animal,6,110,CAN:bird,0
animal,6,110,CAN:fish,0
animal,6,110,CAN:pretty,0
animal,6,110,CAN:big,0
animal,6,110,CAN:living,0
animal,6,110,CAN:green,0
animal,6,110,CAN:red,0
animal,6,110,CAN:yellow,0
animal,6,110,CAN:tall,0
animal,6,110,CAN:grow,1
animal,6,110,CAN:move,1
animal,6,110,CAN:swim,0
animal,6,110,CAN:fly,0
animal,6,110,CAN:sing,0
animal,6,110,CAN:bark,0
animal,6,110,CAN:petals,0
animal,6,110,CAN:wings,0
animal,6,110,CAN:feathers,0
animal,6,110,CAN:scales,0
animal,6,110,CAN:gills,0
animal,6,110,CAN:roots,0
animal,6,110,CAN:skin,0
animal,6,110,CAN:leaves,0
animal,6,110,HAS:living_thing,0
